gene_id	length	log10_length	num_peaks	peak
55729	322926	5.50910301312478	7	1
57451	2807306	6.44828975387718	7	1
57507	1459411	6.16417761533127	7	1
64940	1148237	6.06003153716401	7	1
80139	476127	5.67772280995283	7	1
80207	66171	4.82066769790792	7	1
84811	513696	5.71070618401382	7	1
90993	124726	5.09595699461355	7	1
91464	667429	5.8244050729606	7	1
93408	226530	5.35512572498769	7	1
140733	1923610	6.28411702611311	7	1
157638	530978	5.72507652734035	7	1
157807	436730	5.64021302564462	7	1
221692	519880	5.71590311026545	7	1
222255	273803	5.43743820229435	7	1
254559	69246	4.84039469141012	7	1
285194	1294644	6.11215036294182	7	1
285386	643594	5.8086119866715	7	1
387104	80711	4.90693272820093	7	1
400955	1275461	6.10566718364848	7	1
406891	165724	5.21938540710853	7	1
351	519099	5.71525019224833	6	1
463	465079	5.66752672998664	6	1
622	196319	5.29296233320084	6	1
655	345354	5.53826449050828	6	1
894	223874	5.35000365895557	6	1
1006	2714722	6.43372536245245	6	1
1305	211176	5.32464455941182	6	1
1808	207824	5.31769569945649	6	1
1848	458433	5.66127587248913	6	1
1859	383475	5.58373705611824	6	1
1907	171821	5.23507624230525	6	1
2047	793155	5.89935806634255	6	1
2103	263476	5.42074106151339	6	1
2131	550609	5.74084330589202	6	1
2590	501886	5.70060508130161	6	1
2736	414755	5.61779163028246	6	1
3778	1282380	6.10801673614165	6	1
3801	161535	5.20826663601704	6	1
4306	1027513	6.01178732523672	6	1
4330	605336	5.78199650265274	6	1
4613	536298	5.72940617736474	6	1
4857	929338	5.96817369551961	6	1
5099	3627129	6.5595630016769	6	1
5802	219682	5.34179447375744	6	1
5987	70267	4.84675141203646	6	1
6046	30456	4.48367286380631	6	1
6496	229940	5.36161452702485	6	1
6671	357957	5.55383085964853	6	1
6910	361149	5.55768641666251	6	1
7003	398296	5.60020594490631	6	1
7090	435088	5.63857710534362	6	1
7091	1697223	6.22973890849724	6	1
7738	152650	5.18369680863468	6	1
9223	1025365	6.0108784890686	6	1
9444	943679	5.97482429065774	6	1
9620	209622	5.32143686026402	6	1
9685	710735	5.85170770271215	6	1
10076	861335	5.93517209495567	6	1
10252	364945	5.56222741789119	6	1
10253	2189155	6.34027651225845	6	1
10409	1475366	6.16889977086526	6	1
10642	81933	4.91345885696598	6	1
10644	171463	5.23417041808457	6	1
10801	421547	5.62484600292922	6	1
22895	390626	5.5917611464806	6	1
22986	1673804	6.22370460138599	6	1
23040	1031770	6.01358289606698	6	1
23081	681540	5.83349134992782	6	1
23213	449978	5.65319128108165	6	1
23242	1261526	6.1008962057376	6	1
23359	365020	5.56231666076244	6	1
26011	1944558	6.28882090130415	6	1
27152	1111570	6.04593681715331	6	1
28232	647291	5.81109956858519	6	1
29035	135715	5.13262785102901	6	1
51130	1427460	6.15456394737486	6	1
51232	1434211	6.15661304909652	6	1
51334	1187604	6.07467165168504	6	1
51582	182631	5.26157449710984	6	1
54768	426323	5.62973876333827	6	1
55160	244636	5.38852036705398	6	1
55291	248715	5.39570197835712	6	1
55714	1057313	6.02420357202864	6	1
55784	1181224	6.07233226233781	6	1
55959	427115	5.63054482383337	6	1
56853	441572	5.64500152706031	6	1
57186	471111	5.67312324472545	6	1
57580	357592	5.55338779425498	6	1
64324	184962	5.2670825128059	6	1
78986	834165	5.92125196370958	6	1
80206	537252	5.73017804089191	6	1
80314	210624	5.32350785627826	6	1
83696	486712	5.68727205400915	6	1
83857	715636	5.85469217958691	6	1
84530	401117	5.6032710684881	6	1
84541	362520	5.5593319713209	6	1
90139	263299	5.4204492096746	6	1
114815	2353252	6.37166843646177	6	1
117583	872876	5.94095255259366	6	1
121551	454182	5.65722991840072	6	1
131405	123381	5.09124828586842	6	1
133121	232707	5.36680944738492	6	1
145581	2583329	6.41217971929207	6	1
152002	453082	5.65617680891069	6	1
196074	955372	5.98017250885053	6	1
222183	167598	5.22426883175162	6	1
253461	163186	5.21268289716569	6	1
375719	1146082	6.05921569169201	6	1
389421	138738	5.14219542956654	6	1
440131	209323	5.32081695038498	6	1
440823	584970	5.7671335939992	6	1
100128176	235743	5.37243880594168	6	1
100616426	154609	5.18923477119014	6	1
117	202934	5.30735481576351	5	1
473	467694	5.66996179842335	5	1
577	2299724	6.36167571755259	5	1
636	359684	5.55592111931348	5	1
677	534062	5.72759167780546	5	1
689	196243	5.29279417438242	5	1
1491	345847	5.53888401280609	5	1
1620	1270436	6.10395279174221	5	1
1740	2143523	6.33112814785108	5	1
1767	872098	5.9405652905149	5	1
1837	539184	5.73173699625944	5	1
2257	887773	5.94830193261397	5	1
2272	1255742	6.09890042006517	5	1
